thd_xvalues,thd_yvalues
19.48051948051948,0.003215343070474489
38.96103896103896,0.0005630755754672491
58.44155844155844,0.00026752106593936926
77.92207792207792,0.000198449878726268
97.4025974025974,0.00014012941278832667
116.88311688311688,0.00010533956844130094
136.36363636363635,8.561933919095593e-05
155.84415584415584,8.206800933043528e-05
175.32467532467533,8.40159483017637e-05
194.8051948051948,8.456820849867841e-05
214.28571428571428,9.568194080135866e-05
233.76623376623377,9.418165179902456e-05
253.24675324675323,8.09900344454264e-05
272.7272727272727,7.27754022911995e-05
292.2077922077922,6.022006212548148e-05
311.68831168831167,5.291439354339054e-05
331.16883116883116,5.912867354450467e-05
350.64935064935065,6.61525945255989e-05
370.1298701298701,6.706884131433978e-05
389.6103896103896,4.996591544772088e-05
409.09090909090907,4.6022534395913806e-05
428.57142857142856,5.761924632981763e-05
448.05194805194805,5.946532869259983e-05
467.53246753246754,6.202276184458538e-05
487.01298701298697,5.9165464751804295e-05
506.49350649350646,5.4394110727676974e-05
525.974025974026,5.1458473981637475e-05
545.4545454545454,5.1156498524280636e-05
564.9350649350649,4.873294796296787e-05
584.4155844155844,4.362015463365917e-05
603.8961038961039,4.699607049984369e-05
623.3766233766233,4.776793217683842e-05
642.8571428571428,4.4753318849234135e-05
662.3376623376623,4.093393744009652e-05
681.8181818181818,4.0729256379035056e-05
701.2987012987013,4.110686685290985e-05
720.7792207792207,4.17875404634441e-05
740.2597402597402,4.644205697083635e-05
759.7402597402597,4.4962455283141524e-05
779.2207792207791,4.2794328678878565e-05
798.7012987012987,4.4671062510627825e-05
818.1818181818181,4.399026503344544e-05
837.6623376623376,4.272609308487409e-05
857.1428571428571,4.637572534690152e-05
876.6233766233765,5.158850675960727e-05
896.1038961038961,4.8875988197070656e-05
915.5844155844155,3.9760126813901996e-05
935.0649350649351,3.508076897976756e-05
954.5454545454545,3.566461546801368e-05
974.0259740259739,3.8076154213266566e-05
993.5064935064935,4.083548950795358e-05
